pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
e,1,1.246615,0,0,0,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
e,1,0.53302,0,1,1,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,1.23598,0,2,2,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
e,1,0.94632,0,3,3,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
e,1,0.62887,0,4,4,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
e,1,0.44369,0,5,5,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
e,1,0.441355,0,6,6,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
e,1,0.444325,0,7,7,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.43688,0,8,8,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.38289,0,9,9,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
e,1,0.58828,0,10,10,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.52122,0,11,11,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.466945,0,12,12,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.47637,0,13,13,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
e,1,0.632845,0,14,14,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.412385,0,15,15,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.45744,0,16,16,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.77716,0,17,17,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.701365,0,18,18,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.532965,0,19,19,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
e,1,0.43102,0,20,20,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.404875,0,21,21,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.526705,0,22,22,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
i,1,0.41321,0,23,23,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,Occulus,2020-07-08_09h45.16.128,ANT,2020.1.3,Win32,60,space,5.26317,space,5.63156,i,1,1.075235,0,0,0,9,1
