pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate
i,1,0.61326,0,0,0,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.38226,0,1,1,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,1,0.599775,0,2,2,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,1,0.4467,0,3,3,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.40673,0,4,4,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,1,0.37705,0,5,5,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.40457,0,6,6,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,1,0.451205,0,7,7,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.47833,0,8,8,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.56953,0,9,9,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,1,0.42139,0,10,10,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,1,0.555725,0,11,11,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,1,0.415395,0,12,12,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.524105,0,13,13,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.54737,0,14,14,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,1,0.585155,0,15,15,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.427155,0,16,16,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.47067,0,17,17,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,0,0.438985,0,18,18,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,1,0.579455,0,19,19,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
e,1,0.42693,0,20,20,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.430325,0,21,21,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.40999,0,22,22,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
i,1,0.43817,0,23,23,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,Occulus,2020-07-08_09h48.17.225,ANT,2020.1.3,Win32,60
