cue_file,flanker,pos,correct,fix1,cue_time,stimStart,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_1.started,instr_1.stopped,image.started,image.stopped,instr_2.started,instr_2.stopped,image_2_1.started,image_2_1.stopped,image_2_2.started,image_2_2.stopped,text.started,text.stopped,image_3.started,image_3.stopped,instr_4.started,instr_4.stopped,image_4.started,image_4.stopped,pract_instr.started,pract_instr.stopped,fix_1.started,fix_1.stopped,pract_warning.started,pract_warning.stopped,fix_2.started,fix_2.stopped,pract_target.started,pract_target.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,pract_resp.started,pract_resp.stopped,text_3.started,text_3.stopped,practice_res.started,practice_res.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_5.started,text_5.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,fixation_1.started,fixation_1.stopped,warning.started,warning.stopped,fixation_2.started,fixation_2.stopped,target.started,target.stopped,post_fixation.started,post_fixation.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,participant,date,expName,psychopyVersion,frameRate,
ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2.0,0,0,0,12,,,,,,,,,32.23180130001856,None,32.23180130001856,None,33.26578410004731,None,33.26578410004731,None,33.26578410004731,None,33.62748080003075,None,33.62748080003075,None,33.894349900016095,None,33.894349900016095,None,34.22519140003715,None,35.17351220001001,36.673127600050066,36.6553587000235,36.89539570000488,36.89539570000488,37.317864100041334,37.317864100041334,None,i,0,0.697778100031428,37.05318930000067,None,37.77355530002387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7000000000000002,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.34457940002903,39.55339100002311,39.523579800035805,39.63723110000137,39.63723110000137,40.03463990002638,40.03463990002638,None,i,1,0.3819327999954112,40.0203152000322,None,40.43669740000041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1.0,0.1,1.5,0,2,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.091650900023524,42.10350880003534,42.09039170003962,42.20422430004692,42.20422430004692,42.60134780005319,42.60134780005319,None,i,1,0.5654487999854609,42.586849500017706,None,43.16718720004428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8000000000000003,0,3,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.85206580004888,45.15300490002846,45.13971360004507,45.25352320005186,45.25352320005186,45.65124940004898,45.65124940004898,None,e,1,0.4486274999799207,45.637119900027756,None,46.10055030003423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8000000000000003,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.73447930003749,48.03669100004481,48.02382000000216,48.13743420003448,48.13743420003448,48.534628400055226,48.534628400055226,None,i,1,0.4153826999827288,48.52017880004132,None,48.95056090003345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.54030470002908,51.15350790001685,51.14040680002654,51.25402240001131,51.25402240001131,51.651082000054885,51.651082000054885,None,i,1,0.6479898999677971,51.63672520004911,None,52.30007040000055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.899992000020575,53.70331420004368,53.690300500020385,53.8041377000045,53.8041377000045,54.20121350005502,54.20121350005502,None,e,1,0.5154313999810256,54.18679130001692,None,54.71716070000548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,0,7,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.405174600018654,56.31999580003321,56.3070013000397,56.42042850004509,56.42042850004509,56.81780910002999,56.81780910002999,None,i,1,0.3984055999899283,56.80390670004999,None,57.21720680000726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0.0,0.5,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.85279760003323,57.953426100022625,57.94024420005735,57.94024420005735,57.94024420005735,58.351193400041666,58.351193400041666,None,e,1,0.6154841000097804,58.336851500032935,None,58.96720570005709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.554773100011516,60.27007780002896,60.257036500028335,60.370708400034346,60.370708400034346,60.76770970004145,60.76770970004145,None,i,1,0.43203049997100607,60.75356640003156,None,61.20033780002268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Jul_09_0542,ANT,2020.1.3,60.05681374493553,
