pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
i,1,1.21238,0,0,0,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,1.231355,0,1,1,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.156515,0,2,2,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.23796,0,3,3,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,1.073035,0,4,4,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.10222,0,5,5,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.924375,0,6,6,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.04766,0,7,7,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.919695,0,8,8,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.204795,0,9,9,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.858195,0,10,10,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.119725,0,11,11,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.193785,0,12,12,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.87042,0,13,13,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.72615,0,14,14,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.922535,0,15,15,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.946395,0,16,16,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.76445,0,17,17,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.957025,0,18,18,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.891795,0,19,19,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.821465,0,20,20,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.93071,0,21,21,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.803075,0,22,22,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.9463,0,23,23,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,space,1.694825,space,14.765245,,0,0,0,0,37,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,i,1,0,1,1,11,1,1.6,1.34784,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,2,2,18,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,e,1,0,3,3,2,1,1.6,1.1403,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,4,4,34,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,5,5,26,1,1.1,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,6,6,41,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,7,7,30,1,1.2,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,8,8,31,1,1,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,9,9,15,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,,0,0,10,10,20,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,company,2020-10-02_10h06.31.216,ANT,2020.1.3,Win32,60,,,,,i,1,0,11,11,9,1,1.6,1.308935,,,,,,,,,,
