pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
e,1,1.058,0,0,0,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.949,0,1,1,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.696,0,2,2,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.778,0,3,3,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.884,0,4,4,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.628,0,5,5,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.768,0,6,6,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.658,0,7,7,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.724,0,8,8,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.68,0,9,9,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.768,0,10,10,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.647,0,11,11,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.708,0,12,12,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.712,0,13,13,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.663,0,14,14,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.892,0,15,15,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.677,0,16,16,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.807,0,17,17,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.68,0,18,18,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.704,0,19,19,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.818,0,20,20,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.825,0,21,21,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.699,0,22,22,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.746,0,23,23,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,space,4.073,space,7.43,,0,0,0,0,35,1,0.1,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,1,1,22,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,2,2,29,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,,0,0,3,3,20,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,country,2020-07-21_11h08.36.852,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,4,4,1,1,1.6,1.118,,,,,,,,,,
