pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate
i,1,0.964835,0,0,0,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
e,1,0.53698,0,1,1,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.514985,0,2,2,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.56263,0,3,3,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
e,1,0.572215,0,4,4,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.534465,0,5,5,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.39599,0,6,6,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.397265,0,7,7,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
e,1,0.449515,0,8,8,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.43453,0,9,9,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.58651,0,10,10,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,0,0.478765,0,11,11,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
e,1,0.500075,0,12,12,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.43122,0,13,13,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
e,1,0.416155,0,14,14,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.37168,0,15,15,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
e,1,0.51949,0,16,16,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.46799,0,17,17,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
e,1,0.395455,0,18,18,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.299295,0,19,19,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
e,1,0.530635,0,20,20,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.365045,0,21,21,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
i,1,0.4199,0,22,22,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
e,1,0.598725,0,23,23,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,flummox,2020-07-08_09h06.47.683,ANT,2020.1.3,MacIntel,60
