pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
i,1,0.48691,0,0,0,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,flummox,2020-07-08_12h31.10.525,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,
e,1,0.5342,0,1,1,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,flummox,2020-07-08_12h31.10.525,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,
i,0,0.36431,0,2,2,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,flummox,2020-07-08_12h31.10.525,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,
e,1,0.526195,0,3,3,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,flummox,2020-07-08_12h31.10.525,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,
i,1,0.46385,0,4,4,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,flummox,2020-07-08_12h31.10.525,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,
e,1,0.42264,0,5,5,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,flummox,2020-07-08_12h31.10.525,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,
i,1,0.49601,0,6,6,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,flummox,2020-07-08_12h31.10.525,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,
e,1,0.33254,0,7,7,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,flummox,2020-07-08_12h31.10.525,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,
i,1,0.550725,0,8,8,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,flummox,2020-07-08_12h31.10.525,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,
e,0,0.38768,0,9,9,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,flummox,2020-07-08_12h31.10.525,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,
