pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
i,1,1.328,0,0,0,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.272,0,1,1,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.83,0,2,2,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,0,0.961,0,3,3,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,4,4,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
,0,,0,5,5,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,0,0.962,0,6,6,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.954,0,7,7,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.694,0,8,8,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.783,0,9,9,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.766,0,10,10,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.67,0,11,11,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,0,0.849,0,12,12,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.758,0,13,13,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.91,0,14,14,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.319,0,15,15,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.845,0,16,16,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.77,0,17,17,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.789,0,18,18,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.771,0,19,19,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.867,0,20,20,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.633,0,21,21,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.806,0,22,22,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.686,0,23,23,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,space,3.511,space,11.437,,0,0,0,0,30,1,1.2,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,1,1,21,1,0.1,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,2,2,32,1,1.3,1.601,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,3,3,40,1,1.2,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,4,4,20,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,5,5,37,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,6,6,18,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,7,7,38,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,8,8,28,1,0.7,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,9,9,2,1,1.6,1.327,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,10,10,33,1,0.6,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,11,11,0,1,1.6,1.194,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,12,12,34,1,0.2,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,13,13,8,1,1.6,1.223,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,14,14,24,1,1.1,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,15,15,43,1,1.1,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,16,16,41,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,17,17,36,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,18,18,1,1,1.6,1.137,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,19,19,19,1,1,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,20,20,42,1,0.9,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,21,21,16,1,1.2,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,22,22,14,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,23,23,5,1,1.6,1.311,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,24,24,47,1,0.7,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,25,25,26,1,1.1,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,26,26,11,1,1.6,1.469,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,27,27,15,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,28,28,31,1,1,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,29,29,12,1,0.6,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,30,30,7,1,1.6,1.368,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,31,31,10,1,1.6,1.558,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,32,32,22,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,33,33,44,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,34,34,17,1,1.3,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,35,35,23,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,36,36,46,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,37,37,39,1,0.3,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,38,38,35,1,0.1,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,39,39,6,1,1.6,1.47,,,,,,,,,,
,,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,40,40,45,1,1.3,1.618,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,41,41,9,1,1.6,1.313,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,42,42,25,1,0.5,,,,,,,,,,,
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,43,43,13,1,0.7,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,44,44,29,1,0.8,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,0,45,45,27,1,0.4,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,e,1,0,46,46,4,1,1.6,1.323,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,i,1,0,47,47,3,1,1.6,1.188,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,0,48,28,1,0.7,,,,,,,,,,,
,,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,minute,2020-09-30_14h48.17.372,ANT,2020.1.3,MacIntel,60,,,,,,0,1,1,49,34,1,0.2,,,,,,,,,,,
