pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
e,1,0.98683,0,0,0,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.95888,0,1,1,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.255315,0,2,2,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.684765,0,3,3,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,1.145885,0,4,4,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.69493,0,5,5,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.625615,0,6,6,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
i,1,0.57818,0,7,7,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.803675,0,8,8,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
e,1,0.75637,0,9,9,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,parent,2020-09-30_10h14.50.100,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
