pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt
,0,0,0,0,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,
e,1,0,1,1,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.54564
i,1,0,2,2,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.495535
i,1,0,3,3,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.439345
i,1,0,4,4,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.595675
e,1,0,5,5,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.409525
i,1,0,6,6,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.39489
i,1,0,7,7,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.423915
i,1,0,8,8,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.39257
e,1,0,9,9,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.37757
i,1,0,10,10,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.3251
i,1,0,11,11,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.36981
i,1,0,12,12,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.40903
e,1,0,13,13,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.39586
e,1,0,14,14,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.519995
e,0,0,15,15,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.452895
e,0,0,16,16,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.391645
e,1,0,17,17,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.526905
e,1,0,18,18,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.501955
e,1,0,19,19,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.51528
i,1,0,20,20,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.37245
e,1,0,21,21,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.387895
i,1,0,22,22,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.48544
i,1,0,23,23,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,possum,2020-07-08_15h03.44.032,ANT,2020.1.3,Win32,60,0.506945
