pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate
e,0,0.982855,0,0,0,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,0,0.4254,0,1,1,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.518535,0,2,2,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
e,0,0.37597,0,3,3,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.570385,0,4,4,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
e,1,0.422665,0,5,5,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.362655,0,6,6,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.36625,0,7,7,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
e,1,0.535045,0,8,8,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.351265,0,9,9,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.41466,0,10,10,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.475255,0,11,11,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.47097,0,12,12,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
e,1,0.535545,0,13,13,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.355305,0,14,14,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.42717,0,15,15,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
e,1,0.397935,0,16,16,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
e,1,0.45584,0,17,17,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
e,1,0.53076,0,18,18,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.50067,0,19,19,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
e,1,0.354545,0,20,20,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
e,1,0.476495,0,21,21,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
i,1,0.466805,0,22,22,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
e,1,0.40805,0,23,23,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,possum,2020-07-08_15h13.27.282,ANT,2020.1.3,Win32,60
