pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0,0,0,0,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0,1,1,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.629635,,,,,,,,,,,,
e,1,0,2,2,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.405415,,,,,,,,,,,,
i,1,0,3,3,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.377075,,,,,,,,,,,,
i,1,0,4,4,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.354505,,,,,,,,,,,,
e,1,0,5,5,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.461175,,,,,,,,,,,,
i,0,0,6,6,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.40115,,,,,,,,,,,,
i,1,0,7,7,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.448915,,,,,,,,,,,,
i,1,0,8,8,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.60733,,,,,,,,,,,,
i,1,0,9,9,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.42872,,,,,,,,,,,,
e,1,0,10,10,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.392145,,,,,,,,,,,,
e,1,0,11,11,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.460755,,,,,,,,,,,,
e,1,0,12,12,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.52667,,,,,,,,,,,,
i,1,0,13,13,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.535175,,,,,,,,,,,,
e,1,0,14,14,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.55775,,,,,,,,,,,,
i,1,0,15,15,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.371115,,,,,,,,,,,,
i,1,0,16,16,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.49257,,,,,,,,,,,,
i,1,0,17,17,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.410915,,,,,,,,,,,,
e,1,0,18,18,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.534755,,,,,,,,,,,,
i,1,0,19,19,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.35467,,,,,,,,,,,,
e,1,0,20,20,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.538705,,,,,,,,,,,,
e,1,0,21,21,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.487995,,,,,,,,,,,,
i,1,0,22,22,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.50658,,,,,,,,,,,,
i,1,0,23,23,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,0.407375,,,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,space,1.497765,space,0.3645,i,1,1.322555,0,0,0,45,1
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,i,1,1.298285,0,1,1,5,1
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,i,0,0.839465,0,2,2,10,1
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,,0,,0,3,3,28,1
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,e,1,1.536565,0,4,4,2,1
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,i,1,1.372725,0,5,5,3,1
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,i,1,1.17522,0,6,6,7,1
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,,0,,0,7,7,29,1
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,,0,,0,8,8,31,1
,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,i,1,0.9466,0,9,9,41,1
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,i,1,0.535305,0,10,10,27,1
,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,i,0,0.51981,0,11,11,42,1
,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,e,1,1.518745,0,12,12,40,1
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,i,1,1.2028,0,13,13,9,1
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,possum,2020-07-08_15h16.27.866,ANT,2020.1.3,Win32,60,,,,,,e,1,1.425115,0,14,14,30,1
