pract_resp.keys,pract_resp.corr,pract_resp.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix
i,1,0.494185,0,0,0,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.567525,0,1,1,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
e,1,0.518345,0,2,2,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.36611,0,3,3,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
e,1,0.376655,0,4,4,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.509395,0,5,5,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
e,1,0.32892,0,6,6,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
e,1,0.410585,0,7,7,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,0,0.373305,0,8,8,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.417175,0,9,9,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.41309,0,10,10,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
e,1,0.384985,0,11,11,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.463325,0,12,12,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
e,1,0.52942,0,13,13,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.43199,0,14,14,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.52161,0,15,15,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
e,1,0.507605,0,16,16,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
e,1,0.50955,0,17,17,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.405505,0,18,18,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.520205,0,19,19,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
e,1,0.533875,0,20,20,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.436895,0,21,21,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.57526,0,22,22,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
i,1,0.60086,0,23,23,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,space,0.73865,space,0.331015,e,1,0.91654,0,0,0,0,1,1.6
,,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,0,,0,1,1,22,1,0.4
,,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,0,,0,2,2,13,1,0.7
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,e,1,0.976185,0,3,3,8,1,1.6
,,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,0,,0,4,4,41,1,0.8
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,0,,0,5,5,15,1,0.3
,,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,e,1,1.51994,0,6,6,26,1,1.1
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,e,1,1.056345,0,7,7,4,1,1.6
,,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,0,,0,8,8,36,1,0.3
,,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,i,1,1.01288,0,9,9,5,1,1.6
,,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,0,,0,10,10,21,1,0.1
,,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,e,1,1.1861,0,11,11,10,1,1.6
,,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,0,,0,12,12,39,1,0.3
,,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,0,,0,13,13,35,1,0.1
,,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,0,,0,14,14,23,1,0.8
,,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,e,1,0.982065,0,15,15,6,1,1.6
,,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,i,1,1.537745,0,16,16,43,1,1.1
,,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,,0,,0,17,17,20,1,0.2
,,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,possum,2020-07-09_07h36.26.391,ANT,2020.1.3,Win32,60,,,,,e,1,1.05864,0,18,18,2,1,1.6
