pract_resp.keys,pract_resp.corr,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,cue_file,flanker,pos,correct,fix1,cue_time,stimStart,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,response.keys,response.corr,response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,postFix,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,0,0,0,0,21,1,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,1,1,17,1,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,1.13476,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,2,2,5,1,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.88752,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,3,3,12,1,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.895755,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,4,4,11,1,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.89776,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,5,5,14,1,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.800765,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,6,6,19,1,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.81223,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,7,7,8,1,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.708295,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,8,8,13,1,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.767035,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,9,9,18,1,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.7342,,,,,,,,,,,,,,,,,,,,,,,
i,0,0,10,10,2,1,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.92213,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,11,11,4,1,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.89339,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,12,12,15,1,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.794615,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,13,13,0,1,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.77184,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,14,14,7,1,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.706245,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,15,15,23,1,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.81856,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,16,16,9,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.605365,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,17,17,1,1,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.774195,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,18,18,6,1,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.633995,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,19,19,22,1,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.738385,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,20,20,10,1,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.79908,,,,,,,,,,,,,,,,,,,,,,,
e,1,0,21,21,16,1,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.617385,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,22,22,20,1,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.70431,,,,,,,,,,,,,,,,,,,,,,,
i,1,0,23,23,3,1,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,0.74822,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,space,15.822635,space,7.88173,i,1,1.141805,0,0,0,5,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,0.25,e,1.2,0.1,1.7,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,1,1,14,1,0.5,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,0.25,i,1.2,0.1,1.7,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,2,2,25,1,0.5,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,-0.25,e,0.4,0.1,0.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,e,1,1.44862,0,3,3,32,1,1.3,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,4,4,15,1,0.3,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_l.png,0.25,e,1.5,0.1,2,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,5,5,38,1,0.2,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_l.png,0.25,e,1.4,0.1,1.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,6,6,36,1,0.3,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,-0.25,e,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,e,1,1.548195,0,7,7,8,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_l.png,0.25,e,0.6,0.1,1.1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,8,8,26,1,1.1,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_l.png,-0.25,e,1.5,0.1,2,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,9,9,20,1,0.2,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,10,10,35,1,0.1,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/neu_r.png,0.25,i,0.8,0.1,1.3,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,11,11,37,1,0.9,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_r.png,-0.25,i,0.6,0.1,1.1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,12,12,43,1,1.1,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,13,13,21,1,0.1,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,14,14,29,1,0.8,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,15,15,24,1,1.1,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,16,16,39,1,0.3,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,17,17,18,1,0.9,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,-0.25,i,0.9,0.1,1.4,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,18,18,23,1,0.8,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,i,0,1.00536,0,19,19,6,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,20,20,31,1,1,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_r.png,-0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,i,1,1.499025,0,21,21,11,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,-0.25,i,1.1,0.1,1.6,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,22,22,33,1,0.6,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,-0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,i,1,1.26185,0,23,23,7,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,-0.25,e,1.5,0.1,2,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,24,24,34,1,0.2,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_l.png,0.25,e,1.1,0.1,1.6,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,25,25,12,1,0.6,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,-0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,i,1,1.08304,0,26,26,9,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/incong_r.png,0.25,i,0.9,0.1,1.4,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,27,27,41,1,0.8,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_r.png,-0.25,i,1,0.1,1.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,28,28,47,1,0.7,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/cong_r.png,0.25,i,1.3,0.1,1.8,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,29,29,27,1,0.4,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/neu_l.png,-0.25,e,0.8,0.1,1.3,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,30,30,42,1,0.9,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,0.25,e,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,e,1,1.28252,0,31,31,0,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,32,32,22,1,0.4,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,33,33,44,1,0.5,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_r.png,0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,i,1,1.106145,0,34,34,3,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,-0.25,e,0.5,0.1,1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,35,35,30,1,1.2,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,36,36,16,1,1.2,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_r.png,-0.25,i,0.4,0.1,0.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,i,1,1.50048,0,37,37,45,1,1.3,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_r.png,0.25,i,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,i,1,1.05057,0,38,38,1,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/cong_l.png,0.25,e,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,39,39,2,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,0.25,e,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,e,1,1.102475,0,40,40,4,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/up.png,ANT_images/incong_l.png,0.25,e,0.5,0.1,1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,41,41,40,1,1.2,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,0.25,i,1,0.1,1.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,42,42,13,1,0.7,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/incong_l.png,-0.25,e,1.3,0.1,1.8,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,43,43,46,1,0.4,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/incong_l.png,-0.25,e,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,e,1,1.199865,0,44,44,10,1,1.6,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/incong_r.png,0.25,i,0.4,0.1,0.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,45,45,17,1,1.3,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_l.png,0.25,e,1,0.1,1.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,46,46,28,1,0.7,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/neu_r.png,-0.25,i,0.7,0.1,1.2,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,0,47,47,19,1,1,,,,,,,,,,
,,,,,,,ANT_images/down.png,ANT_images/cong_l.png,-0.25,e,1.2,0.1,1.7,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,0,48,44,1,0.5,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,0.25,i,1.4,0.1,1.9,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,1,49,15,1,0.3,,,,,,,,,,
,,,,,,,ANT_images/center.png,ANT_images/cong_r.png,-0.25,i,1.6,0.1,2.1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,2,50,21,1,0.1,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/neu_l.png,0.25,e,0.6,0.1,1.1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,3,51,24,1,1.1,,,,,,,,,,
,,,,,,,ANT_images/double.png,ANT_images/incong_r.png,-0.25,i,1.6,0.1,2.1,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,,0,,1,4,52,35,1,0.1,,,,,,,,,,
,,,,,,,ANT_images/none.png,ANT_images/neu_l.png,-0.25,e,0.1,0,0.5,room,2020-08-12_19h35.52.331,ANT,2020.1.3,Win32,60,,,,,,e,1,1.415825,1,5,53,6,1,1.6,,,,,,,,,,
